year,year_label,actual,arima_fitted,prophet_fitted,record_type
2016,2016/2017,102600000,0.0,101927364.48452641,observed
2017,2017/2018,93826201,48967515.65378926,104339112.51139846,observed
2018,2018/2019,112934263,27724768.374948017,106750860.54558456,observed
2019,2019/2020,115617604,57682341.194577366,109162608.56826678,observed
2020,2020/2021,111727403,40847829.32242818,111580585.29589379,observed
2021,2021/2022,114956225,50984916.551608704,113991955.5175852,observed
2022,2022/2023,115338802,46492495.76331223,116403325.72994527,observed
2023,2023/2024,116144542,50308023.91990974,118814695.93423365,observed
2024,2024/2025,121031160,48248241.84129069,121232672.63223241,observed
2025,2025/2026,,53421895.52934611,123644042.83652078,forecast
2026,2026/2027,,0.0,126055413.04080917,forecast
2027,2027/2028,,0.0,128466783.24509753,forecast
